repo,commit,file_path,language,has_defect,lines,function_count,class_count,import_count,export_count,avg_complexity,max_complexity,fan_in,fan_out,code_smell_count,has_test
"zod","5489a532e65ee3f5ab0959ff8a5da346ced96f2a","packages/zod/src/v4/locales/ne.ts","typescript",0,127,3,0,3,1,1.33,2,3,17,1,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/classic/schemas.ts","typescript",1,2907,97,0,9,282,1.19,4,129,659,2,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/core/memoizer.ts","typescript",1,294,11,1,3,4,8.09,56,30,61,6,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/core/schemas.ts","typescript",1,5146,45,0,13,365,4.73,16,85,756,11,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/core/util.ts","typescript",1,1253,71,2,5,143,3.01,24,43,184,6,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/mini/schemas.ts","typescript",1,2047,104,1,4,279,1.17,4,20,342,2,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/locales/ps.ts","typescript",0,130,3,0,3,1,1.33,2,3,15,1,0
"zod","4d7308828b1a56768741d7cfd6cf476eaead45af","packages/zod/src/v4/locales/it.ts","typescript",0,120,3,0,3,1,1.33,2,3,15,1,0
"zod","81ded9918fe39d51b232be72f23ba0d5fb6a837e","packages/zod/src/v4/classic/from-json-schema.ts","typescript",1,722,9,0,7,1,19,111,24,219,7,0
"zod","81ded9918fe39d51b232be72f23ba0d5fb6a837e","mm.mjs","javascript",0,9,0,0,3,0,0,0,0,9,0,0
"zod","74f9a6d3f2818f24e6df5394b8b6e60acb176463","packages/zod/src/v4/core/regexes.ts","typescript",1,208,11,0,1,61,2,5,17,21,1,0
"zod","74f9a6d3f2818f24e6df5394b8b6e60acb176463","packages/zod/src/v4/locales/hi.ts","typescript",0,125,3,0,3,1,1.33,2,3,13,1,0
"zod","1a16102a494b03ce1df7b80b663ae2df465f419e","packages/zod/src/v4/core/memoizer.ts","typescript",1,209,10,1,3,4,4.4,15,12,41,5,0
"zod","1a16102a494b03ce1df7b80b663ae2df465f419e","packages/bench/metabench.ts","typescript",0,228,7,4,6,2,3.29,7,4,74,2,0
"zod","7e24a24288183ce02554f1ded7775d0650a7b7e6","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,743,43,0,6,43,3.7,24,9,111,8,0
"zod","7e24a24288183ce02554f1ded7775d0650a7b7e6","packages/zod/src/v4/core/to-json-schema.ts","typescript",1,851,17,0,6,17,13.47,38,50,145,17,0
"zod","7e24a24288183ce02554f1ded7775d0650a7b7e6","packages/zod/src/v4/locales/pt.ts","typescript",0,158,4,0,4,1,1.5,2,11,26,2,0
"zod","7e24a24288183ce02554f1ded7775d0650a7b7e6","packages/zod/src/v4/core/visit.ts","typescript",0,194,3,0,2,5,23.33,65,19,43,4,0
"zod","d378c42aff6869f0929058a7923cd775880f5c4c","packages/zod/src/v4/classic/schemas.ts","typescript",1,2866,96,0,9,277,1.19,4,126,653,2,0
"zod","d378c42aff6869f0929058a7923cd775880f5c4c","packages/zod/src/v4/core/util.ts","typescript",1,1209,69,1,5,142,3.04,24,42,183,6,0
"zod","d378c42aff6869f0929058a7923cd775880f5c4c","packages/zod/src/v4/core/parse.ts","typescript",0,289,21,0,4,41,1.86,6,25,57,1,0
"zod","d378c42aff6869f0929058a7923cd775880f5c4c","packages/bench/arktype-morph-test.ts","typescript",0,73,0,0,1,0,0,0,0,37,0,0
"zod","43f729db4aa0cedff6d6b3261f33f8556b3c7102","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,732,43,0,6,43,3.65,24,9,108,8,0
"zod","43f729db4aa0cedff6d6b3261f33f8556b3c7102","packages/bench/compile-helper-scope.ts","typescript",0,110,1,0,4,0,2,2,6,63,0,0
"zod","21a6f0cbd3bef24d47e488a48cc9cb4d0bf97743","packages/zod/src/v4/core/checks.ts","typescript",1,1306,3,0,5,93,2,2,2,125,1,0
"zod","21a6f0cbd3bef24d47e488a48cc9cb4d0bf97743","packages/zod/src/v4/core/compile.ts","typescript",1,2087,76,2,9,6,5.25,46,237,588,20,0
"zod","21a6f0cbd3bef24d47e488a48cc9cb4d0bf97743","packages/zod/src/v4/locales/ua.ts","typescript",0,8,1,0,2,1,1,1,0,3,0,0
"zod","21a6f0cbd3bef24d47e488a48cc9cb4d0bf97743","packages/bench/compile-startswith.ts","typescript",0,57,5,0,1,0,1,1,15,31,1,0
"zod","1cf9cd09271e637fe820be656699dac8664cb13e","packages/zod/src/v4/core/regexes.ts","typescript",1,205,10,0,1,60,2.1,5,17,21,1,0
"zod","1cf9cd09271e637fe820be656699dac8664cb13e","packages/bench/memory/snapshot.ts","typescript",0,134,6,0,4,3,2.83,7,8,32,0,0
"zod","7b612b536d8bcb1dd160a705cc2d9a4109cb50b3","packages/zod/src/v4/core/schemas.ts","typescript",1,5035,42,0,13,359,5.02,16,77,727,12,0
"zod","7b612b536d8bcb1dd160a705cc2d9a4109cb50b3","packages/zod/src/v4/mini/iso.ts","typescript",0,67,4,0,2,12,1,1,0,18,0,0
"zod","1c43b7745a47e2a8c46361cf92280a9c03d52797","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,730,43,0,6,43,3.65,24,9,107,8,0
"zod","1c43b7745a47e2a8c46361cf92280a9c03d52797","packages/zod/src/v4/core/to-json-schema.ts","typescript",1,730,14,0,6,17,12.93,34,43,107,15,0
"zod","1c43b7745a47e2a8c46361cf92280a9c03d52797","packages/treeshake/zod-default-import.ts","typescript",0,5,0,0,1,0,0,0,0,6,0,0
"zod","1c43b7745a47e2a8c46361cf92280a9c03d52797","packages/zod/src/v4/locales/vi.ts","typescript",0,121,3,0,3,1,1.33,2,3,15,1,0
"zod","a82593c19b27a637fcde21e50c53cb51cc4e27f8","packages/zod/src/v4/core/schemas.ts","typescript",1,5035,41,0,13,359,5.1,16,75,729,12,0
"zod","a82593c19b27a637fcde21e50c53cb51cc4e27f8","packages/zod/src/v4/classic/index.ts","typescript",0,6,0,0,1,2,0,0,0,1,0,0
"zod","a825c1b08c1e6ab4de83890bef053960fb8b814e","packages/zod/src/v4/classic/in-out.ts","typescript",1,40,5,0,4,4,1.6,3,4,13,0,0
"zod","a825c1b08c1e6ab4de83890bef053960fb8b814e","packages/zod/src/v4/core/visit.ts","typescript",1,190,3,0,2,5,23.33,65,19,43,4,0
"zod","a825c1b08c1e6ab4de83890bef053960fb8b814e","packages/zod/src/v4/mini/in-out.ts","typescript",1,40,5,0,4,4,1.6,3,4,13,0,0
"zod","a825c1b08c1e6ab4de83890bef053960fb8b814e","packages/zod/src/v4/core/schemas.ts","typescript",0,5025,41,0,11,359,5.1,16,75,727,12,0
"zod","a825c1b08c1e6ab4de83890bef053960fb8b814e","packages/zod/src/v3/benchmarks/index.ts","typescript",0,60,0,0,9,0,0,0,0,30,0,0
"zod","7c070db92e9b8bb4fa055343b3c9af477b2aae36","packages/zod/src/v4/core/compile.ts","typescript",1,2087,76,2,9,6,5.25,46,237,588,20,0
"zod","7c070db92e9b8bb4fa055343b3c9af477b2aae36","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,716,43,0,6,43,3.6,24,9,107,8,0
"zod","7c070db92e9b8bb4fa055343b3c9af477b2aae36","packages/zod/src/v4/core/schemas.ts","typescript",1,5025,41,0,11,359,5.1,16,75,727,12,0
"zod","7c070db92e9b8bb4fa055343b3c9af477b2aae36","packages/zod/src/v4/core/registries.ts","typescript",0,106,6,1,2,10,2.5,4,2,15,0,0
"zod","7c070db92e9b8bb4fa055343b3c9af477b2aae36","packages/zod/src/v4/locales/km.ts","typescript",0,123,3,0,3,1,1.33,2,3,15,1,0
"zod","53cec2a0d0941a69d8add934ac3a8695fb5fb14c","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,714,43,0,6,43,3.56,24,8,106,7,0
"zod","53cec2a0d0941a69d8add934ac3a8695fb5fb14c","packages/zod/src/v4/core/schemas.ts","typescript",1,5013,41,0,11,359,5.1,16,75,725,12,0
"zod","53cec2a0d0941a69d8add934ac3a8695fb5fb14c","packages/treeshake/example.ts","typescript",0,11,0,0,1,0,0,0,0,8,0,0
"zod","53cec2a0d0941a69d8add934ac3a8695fb5fb14c","packages/bench/compile-matrix.ts","typescript",0,450,11,0,3,0,4.09,17,83,353,3,0
"zod","2125d30ce58f66170682d5a50ee4a3e2eac568e3","packages/zod/src/v4/classic/in-out.ts","typescript",1,30,3,0,4,4,1.67,3,1,9,0,0
"zod","2125d30ce58f66170682d5a50ee4a3e2eac568e3","packages/zod/src/v4/mini/in-out.ts","typescript",1,30,3,0,4,4,1.67,3,1,9,0,0
"zod","2125d30ce58f66170682d5a50ee4a3e2eac568e3","packages/bench/object-setup.ts","typescript",0,36,0,0,1,1,0,0,0,11,0,0
"zod","2125d30ce58f66170682d5a50ee4a3e2eac568e3","packages/zod/src/v3/helpers/partialUtil.ts","typescript",0,35,0,0,1,2,0,0,0,1,0,0
"zod","168122fca54452aa30d7261c83df79b703b258d7","packages/zod/src/v4/core/util.ts","typescript",1,1195,68,1,5,142,3.1,24,43,181,6,0
"zod","168122fca54452aa30d7261c83df79b703b258d7","packages/bench/memory/retainers.ts","typescript",0,123,4,0,4,5,4.25,9,0,28,0,0
"zod","51a1368ad449ba0a4dc6e2822dfcbb5ec891700c","packages/zod/src/v4/classic/in-out.ts","typescript",1,22,2,0,3,4,1,1,0,5,0,0
"zod","51a1368ad449ba0a4dc6e2822dfcbb5ec891700c","packages/zod/src/v4/mini/in-out.ts","typescript",1,22,2,0,3,4,1,1,0,5,0,0
"zod","51a1368ad449ba0a4dc6e2822dfcbb5ec891700c","packages/treeshake/zod-locales.ts","typescript",0,6,0,0,1,0,0,0,0,5,0,0
"zod","51a1368ad449ba0a4dc6e2822dfcbb5ec891700c","packages/tsc/bench/strongly-connected.ts","typescript",0,19,0,0,2,0,0,0,1,7,0,0
"zod","a0bfdb39d0c5fdc066189da8e9786ebf4d6f12b1","packages/zod/src/v4/core/checks.ts","typescript",1,1301,3,0,5,93,2,2,2,125,1,0
"zod","a0bfdb39d0c5fdc066189da8e9786ebf4d6f12b1","packages/zod/src/v4/locales/he.ts","typescript",0,252,7,0,3,1,2,3,12,33,2,0
"zod","e516c3baf22615e20934116abebfed6c000222c2","packages/zod/src/v4/classic/from-json-schema.ts","typescript",1,719,9,0,7,1,19,111,24,219,7,0
"zod","e516c3baf22615e20934116abebfed6c000222c2","packages/zod/src/v4/core/json-schema-processors.ts","typescript",1,704,43,0,6,43,3.49,24,8,104,6,0
"zod","e516c3baf22615e20934116abebfed6c000222c2","packages/zod/src/v4/core/schemas.ts","typescript",1,4982,41,0,11,359,4.93,16,75,720,12,0
"zod","e516c3baf22615e20934116abebfed6c000222c2","packages/zod/src/v4/locales/ro.ts","typescript",0,131,3,0,3,1,1.33,2,3,14,1,0
"zod","e516c3baf22615e20934116abebfed6c000222c2","packages/bench/datetime.ts","typescript",0,17,0,0,2,0,0,0,0,11,0,0
"zod","937b5d01a143c36bb53591fffb29c44412ac9fef","packages/zod/src/v4/core/schemas.ts","typescript",1,4975,41,0,11,359,4.93,16,75,720,12,0
"zod","937b5d01a143c36bb53591fffb29c44412ac9fef","packages/zod/src/v4/mini/parse.ts","typescript",0,15,0,0,0,12,0,0,0,0,0,0
"zod","463ebb30512e7b244f2dde197c5a188162b7c78a","packages/zod/src/v4/core/memoizer.ts","typescript",1,196,8,1,3,4,5,14,8,34,5,0
"zod","463ebb30512e7b244f2dde197c5a188162b7c78a","vitest.compile.config.ts","typescript",0,33,0,0,3,1,0,0,0,8,0,0
"zod","f101d8cada31bd99f2df5d5ce094c95b209b2950","packages/zod/src/v4/core/compile.ts","typescript",1,2080,74,2,9,6,5.32,46,231,584,20,0
"zod","f101d8cada31bd99f2df5d5ce094c95b209b2950","packages/zod/src/v4/core/schemas.ts","typescript",1,4974,39,0,11,358,5.13,16,70,713,12,0
"zod","f101d8cada31bd99f2df5d5ce094c95b209b2950","packages/bench/compile-validate-vs-parse.ts","typescript",0,195,8,0,1,0,9.25,17,12,48,3,0
"zod","f101d8cada31bd99f2df5d5ce094c95b209b2950","packages/bench/memory/throughput.ts","typescript",0,80,3,0,2,0,3,5,16,72,1,0
"zod","060bc9f3ec69bff2849f3cc7c17807b863f503b6","packages/zod/src/v4/core/checks.ts","typescript",1,1289,3,0,5,93,2,2,2,122,1,0
"zod","060bc9f3ec69bff2849f3cc7c17807b863f503b6","packages/zod/src/v4/core/compile.ts","typescript",1,2053,73,2,9,6,5.38,46,226,578,20,0
"zod","060bc9f3ec69bff2849f3cc7c17807b863f503b6","packages/zod/src/v4/core/util.ts","typescript",1,1137,66,1,5,140,3.11,24,43,167,6,0
"zod","060bc9f3ec69bff2849f3cc7c17807b863f503b6","packages/zod/src/v4/locales/tk.ts","typescript",0,112,3,0,3,1,1.33,2,3,14,1,0
"zod","060bc9f3ec69bff2849f3cc7c17807b863f503b6","packages/treeshake/valibot-string.ts","typescript",0,5,0,0,1,0,0,0,0,6,0,0
"zod","7785fc82a5247dc65cc27cac8f777f75dfa77f80","packages/zod/src/v4/core/compile.ts","typescript",1,2041,72,2,9,6,5.42,46,223,571,20,0
"zod","7785fc82a5247dc65cc27cac8f777f75dfa77f80","packages/zod/src/v4/core/schemas.ts","typescript",1,4962,39,0,11,358,4.95,16,70,713,9,0
"zod","7785fc82a5247dc65cc27cac8f777f75dfa77f80","packages/bench/object-fail.ts","typescript",0,14,0,0,2,0,0,0,0,6,0,0
"zod","7785fc82a5247dc65cc27cac8f777f75dfa77f80","packages/treeshake/zod3-full.ts","typescript",0,8,0,0,1,1,0,0,0,5,0,0
